tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail,storyHeadline,storyNarrative,trialCue,proof1Title,proof1Cue,proof2Title,proof2Cue,constructionComfort,constructionSupport
silver,s2,Platinum Paige Extra Firm,Restonic,Platinum,,Luxury extra-firm hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Hybrid,Maximum support with luxury Paige comfort layers,yes,firm|support|zoned|hybrid,,,,,,,Rated Extra Firm — a very firm feel with little give at the surface.,,Extra-firm hybrid support with Marvelous Middle zoning — maximum lift without giving up the luxury layers.,The firmest Platinum — extra-firm zoned support in a luxury build.,Extra-firm support core,Noticeably firmer than the Paige Firm — for sleepers who want no sink at all.,Zoned center third,,Extra-firm support dressed in rich layers.,Natural and temperature-conscious comfort layers add refinement without softening the mattress's decisive stance.,Lie on your back and notice the limited give above the support.,Rich comfort stack,Reveal the natural and cooling materials above the support system.,Reinforced center and edge,Test the center and perimeter while noticing the limited surface give.,Natural and cooling comfort layers,Reinforced center and edge
silver,s3,Platinum Maria Plush,Restonic,Platinum,,,1,3,Plush,,,Plush Box Top,,yes,plush|soft|pressureRelief|zoned|hybrid|motionIsolation,,,,,,,,,,,,,,,"Plush above, structured beneath.",Cooling comfort layers create the welcome while zoned wrapped coils and edge encasement provide hidden discipline.,Lie on your side and let the shoulder settle before you judge the support.,Plush box-top comfort,Try a normal side-sleeping position and let the shoulder settle.,Zoned edge-to-edge structure,Move toward the perimeter and feel the supported edge.,"Cooling comfort layers, plush box-top",Zoned wrapped coils with edge encasement
silver,s4,Platinum Maria Firm,Restonic,Platinum,,Firm box-top zoned hybrid,1,7,Firm,,,Firm Box Top|Zoned Coils|Edge Support,Firm box-top comfort with zoned coil support,yes,firm|support|zoned|hybrid|durability,,,,,,,"Rated Firm, with less give and more pushback at the surface.",,,Firm zoned support in a box-top build with lasting edge-to-edge comfort.,Firm with a finished top,"Firm alignment without the bare, hard feel of a tight-top firm.",3-inch edge encasement,High-density foam rails keep the sleeping surface usable to the very edge.,"Firm, finished, edge-to-edge.",A tailored box-top takes the severity out of firm support while the encased perimeter preserves the surface.,"Lie down, then sit near the edge and notice the supported surface.",Finished firm surface,Feel the tailored top before reaching the firmer support underneath.,Supported perimeter,Sit or lie near the edge and notice the usable surface.,Tailored box-top,Firm support with an encased perimeter
silver,s5,Platinum Summit Firm,Restonic,Platinum,,Cool-gel firm hybrid,1,7,Firm,,,Cool Gel|Firm|Hybrid,Cool gel memory foam over firm hybrid support,yes,firm|cooling|support|hybrid|pressureRelief,,,,,,,"Rated Firm, with less give at the surface and a tight-top construction without a pillow-top layer.",,A full layer of cool-gel memory foam over a firm hybrid core — pressure relief with a cooling effect and solid alignment.,Firm hybrid support topped with cooling gel memory foam.,Cool-gel memory foam layer,Adds cooling comfort a plain firm innerspring doesn't have.,Firm hybrid core,,Cool comfort over a decisive core.,The Summit construction presents its cooling comfort layers over a firm hybrid foundation.,Lie on your back and feel for the stable firm support beneath the comfort layer.,Cooling comfort layers,"Touch the cooling cover, then settle into the breathable comfort foam beneath it.",Pocketed zoned support,Change positions and feel the coil system respond beneath the surface.,Cooling cover over breathable comfort foam,Pocketed zoned coils
silver,s6,Platinum Summit Medium,Restonic,Platinum,,,1,5,Medium,,,Medium|Hybrid,,yes,medium|cooling|pressureRelief|hybrid|support,,,,,,Rated Medium — a balanced feel between plush and firm.,,,,,Crowd-pleasing medium,The feel most couples agree on — balanced give and support.,,,Temperature-conscious balance.,Cooling comfort and pocketed support create an approachable medium hybrid.,Change positions once and notice the balanced give and easy movement.,Cooling comfort layers,"Touch the cooling cover, then settle into the breathable comfort foam beneath it.",Pocketed zoned support,Change positions and feel the coil system respond beneath the surface.,Cooling cover over breathable comfort foam,Pocketed zoned coils
silver,s7,Platinum Summit Plush,Restonic,Platinum,,,1,3,Plush,,,Plush|Hybrid,,yes,plush|soft|cooling|pressureRelief|hybrid,,,,,Rated Plush — a softer feel with more give at the surface.,,,,,,,,Supported softness,,Cooling comfort with a softer welcome.,The Summit construction is expressed through a plush surface while retaining its pocketed support beneath.,"Settle into the plush comfort, then change position and feel the support respond.",Cooling comfort layers,"Touch the cooling cover, then settle into the breathable comfort foam beneath it.",Pocketed zoned support,Change positions and feel the coil system respond beneath the surface.,Cooling cover over breathable comfort foam,Pocketed zoned coils
silver,s8,Kendall Firm Euro Top,Restonic,ComfortCare,,Zoned firm euro-top hybrid,1,7,Firm,,,Marvelous Middle|Firm|Euro Top,,yes,firm|support|zoned|hybrid,,,,,,,"Rated Firm, with less give and more pushback at the surface.",,,Zoned firm support with a euro-top finish — firm without feeling bare.,Euro-top over firm coils,A sewn-under cushion layer takes the edge off a true firm feel.,Thicker center-third coils,Restonic's signature zoning holds hips level where beds break down first.,A cushioned finish over purposeful support.,The euro-top softens first contact while center-third zoning maintains the mattress's firm identity.,"Feel the cushion first, then lie through the center for the firmer structure.",Cushioned euro-top,Feel the initial cushion at the surface.,Center-third support,Lie through the center and find the firmer structure underneath.,Euro-top,Center-third zoning
silver,s9,Kendall Luxury Medium,Restonic,ComfortCare,,Motion-isolating medium hybrid,1,5,Medium,,,Hybrid|Medium|Motion Isolation,Conforming luxury medium that stays still all night,yes,medium|motionIsolation|pressureRelief|hybrid|support,,,,,,,,,Layers of conforming foam over wrapped coils — balanced medium comfort that absorbs a partner's movement.,,Wrapped-coil motion isolation,,Conforming comfort layers,Foam layers contour without the deep sink of memory-foam beds.,Quiet comfort for two.,Conforming foam and independently wrapped coils create a calm medium surface designed to limit transferred movement.,"Lie on your side, then ask your partner to move and notice what reaches you.",Controlled contour,Settle into the comfort layers without a deep foam sink.,Independently wrapped coils,Let one person change position while the other remains still.,Conforming foam,Independently wrapped coils
silver,s10,Kendall Extra Firm,Restonic,ComfortCare,,Zoned extra-firm hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Tight Top,Extra-firm zoned support at a working price,yes,firm|support|zoned|hybrid|durability,,,,,,,,,,,Extra-firm tight top,"A flat, supportive surface with no plush give — for sleepers who want solid.",Zoned center support,Thicker center coils protect the firm feel from early body impressions.,Structured support with a cooling surface.,Cooling comfort materials sit above an extra-firm tight-top with reinforced center and perimeter support.,"Touch the cover, then lie on your back and feel the limited give.",Cooling surface,Touch the cover before lying down.,Reinforced structure,Test the center and edge while noticing the limited surface give.,"Cooling comfort materials, tight-top",Reinforced center and perimeter
bronze,b1,Giselle Plush,Restonic,Giselle,,Everyday plush comfort,1,3,Plush,,,Plush|12.5-Inch|Value,"Soft, welcoming plush at an everyday price",yes,plush|soft|pressureRelief,,,,,,,,,A 12.5-inch plush build that cushions shoulders and hips — easy softness at a price that makes sense.,,True plush surface,Softer than the Gracie — made for sleepers who want cushion first.,Everyday value,Restonic quality without the Platinum price.,"A cool, generous welcome.","A cool-to-touch surface and plush memory foam create the first impression, with pocketed zoned coils underneath.","Touch the cover, then lie on your side and let the shoulder settle.",Cool plush surface,"Touch the cover, then let the shoulder and hip settle into the smooth comfort layer.",Zoned pocketed support,Change positions and feel the support beneath the plush surface.,Cool-to-touch surface over plush memory foam,Pocketed zoned coils
bronze,b2,Giselle Firm,Restonic,Giselle,,Everyday firm support,1,7,Firm,,,Firm|12.5-Inch|Value,Straightforward firm support at an everyday price,yes,firm|support|durability,,,,,,,"Rated Firm, with less give and more pushback at the surface.",,A no-nonsense 12.5-inch firm that keeps your spine aligned — dependable support night after night.,Dependable firm alignment at an everyday price.,Straightforward firm feel,Solid support without plush layers softening the surface.,Everyday value,The affordable path to a true firm mattress.,Clean firmness with thoughtful engineering.,A cooling surface and pocketed center-zoned coils elevate a straightforward firm mattress.,Lie through the center and notice the restrained surface.,Cooling first contact,Touch the cover before lying down.,Center-zoned firm support,Lie through the center and notice the restrained surface.,Cooling surface,Pocketed center-zoned coils
bronze,b3,Genesis Euro Top,Genesis,Kingdom Mattress,,USA-engineered family hybrid,2,5,Medium,,,Hybrid|Euro Top|Made in USA,"Family-built euro-top hybrid, engineered in the USA",no,medium|hybrid|support|durability|pressureRelief,,,,,,,,,Thirty years of Kingdom Mattress family know-how in a euro-top hybrid engineered entirely in the USA.,A family-company euro-top hybrid built to take years of real life.,Euro-top comfort layer,A cushioned top the plain Genesis Firm doesn't have.,Built-to-last engineering,Designed by a 30-year family company for durability first.,Family-built American comfort.,A family company's hybrid foundation receives a relaxed euro-top finish.,Roll once and feel the coils respond under the cushioned top.,Cushioned euro-top,Feel the additional comfort at first contact.,Responsive hybrid foundation,Roll once and feel the coil response beneath the cushion.,Euro-top,Hybrid coil foundation
bronze,b4,Genesis Firm,Genesis,Kingdom Mattress,,USA-engineered firm value,2,7,Firm,,,Hybrid|Firm|Made in USA,Firm family-built hybrid at the best value,no,firm|hybrid|support|durability,,,,,,,"Rated Firm, with less give and more pushback at the surface.",,A firm hybrid engineered entirely in the USA by a 30-year family company — solid support at the best value in the store.,"Firm hybrid support, family-built and priced to make sense.",Firm hybrid core,Coil support with a firm surface — more responsive than foam value beds.,Best-value firm,The most affordable true firm hybrid in the lineup.,American-engineered response without excess.,A direct firm hybrid focuses on immediate coil response and an uncomplicated surface.,"Press the top, then roll or rise and feel the immediate response.",Direct firm surface,Press the top and notice its limited give.,Responsive hybrid support,Roll or rise and feel the mattress respond immediately.,Firm surface,Hybrid coils
bronze,b5,Angelina Plush,Restonic,ComfortCare,,Zoned plush for side sleepers,1,3,Plush,,,Marvelous Middle|Plush|Side Sleeper,,yes,plush|soft|pressureRelief|zoned,,,,,Rated Plush — a softer feel with more give at the surface.,,,,,,,,3-inch edge encasement,High-density foam rails give a bigger usable sleep surface than value plush beds.,Side-sleeper softness with hidden structure.,A plush surface welcomes the shoulder and hip while a reinforced center and encased edge provide structure.,"Lie on your side and let the shoulder settle, then move toward the edge.",Plush pressure-conscious surface,Try a normal side-sleeping position and let the shoulder settle naturally.,Center and edge support,Move toward the perimeter and feel the supported edge.,Plush surface,Reinforced center with an encased edge
bronze,b6,Angelina Extra Firm,Restonic,ComfortCare,,Zoned extra-firm value hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Hybrid,Extra-firm hybrid support at a value price,yes,firm|support|zoned|hybrid,,,,,,,Rated Extra Firm — a very firm feel with little give at the surface.,,,The value path to real extra-firm zoned support.,Value extra-firm,The firmest feel in the bronze tier — no plush give at all.,Zoned hybrid core,Center-third reinforcement most value firm beds skip.,"Compact, extra-firm control.",A restrained tight-top places reinforced center support and perimeter structure ahead of decorative cushioning.,"Press the top, then lie down and test the center and the edge.",Extra-firm surface,Press the top and notice its limited give.,Reinforced center and edge,Test the middle and perimeter of the mattress.,Restrained tight-top,Reinforced center and perimeter
bronze,b7,Gracie Medium,Restonic,Grace,,Everyday balanced innerspring,1,5,Medium,,,Innerspring|Medium|Best Value,Balanced medium comfort at the friendliest price,yes,medium|support|zoned|responsive,,,,,,Rated Medium — a balanced feel between plush and firm.,,,A balanced medium innerspring with Restonic's thicker center coils — real quality at the friendliest price in the store.,Easy balanced comfort with zoned support — the smart starter pick.,Responsive innerspring feel,Classic coil bounce that's easy to move on — no stuck-in-foam feeling.,Friendliest price,The most affordable way into a zoned Restonic build.,"Classic innerspring character, thoughtfully reinforced.","Traditional coil response is paired with a stronger center, supportive perimeter and cooling cover.","Roll once and feel the familiar spring response, then sit near the edge.",Classic responsive feel,Roll once and feel the familiar spring response.,Reinforced sleep surface,Test the center and then sit near the supported edge.,Cooling cover,Innerspring coils with a reinforced center and perimeter
