id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail,storyHeadline,storyNarrative,trialCue,proof1Title,proof1Cue,proof2Title,proof2Cue,constructionComfort,constructionSupport
s2,Marvelous Middle|Extra Firme|Híbrido,Máximo soporte con capas de confort de lujo Paige,,,,,,,"Nivel de confort extra firme: una sensación muy firme, con poco hundimiento en la superficie.",,Soporte híbrido extra firme con zonificación Marvelous Middle — máxima elevación sin renunciar a las capas de lujo.,El Platinum más firme — soporte extra firme zonificado en construcción de lujo.,Núcleo de soporte extra firme,Notablemente más firme que el Paige Firme — para quienes no quieren hundirse nada.,Tercio central zonificado,,Soporte extra firme vestido con capas ricas.,Las capas de confort naturales y atentas a la temperatura añaden refinamiento sin suavizar el carácter decidido del colchón.,Acuéstate boca arriba y nota lo poco que cede sobre el soporte.,Capa de confort rica,Muestra los materiales naturales y frescos sobre el sistema de soporte.,Centro y borde reforzados,Prueba el centro y el perímetro mientras notas la cesión limitada de la superficie.,Capas de confort naturales y frescas,Centro y borde reforzados
s3,Box Top Suave,,,,,,,,,,,,,,,,"Mullido arriba, estructurado debajo.",Las capas de confort frescas dan la bienvenida mientras los resortes envueltos por zonas y el borde reforzado aportan una disciplina oculta.,Acuéstate de lado y deja que el hombro se asiente antes de juzgar el soporte.,Confort de box-top mullido,Prueba una posición normal de lado y deja que el hombro se asiente.,Estructura por zonas de borde a borde,Muévete hacia el perímetro y siente el borde con soporte.,"Capas de confort frescas, box-top mullido",Resortes envueltos por zonas con borde reforzado
s4,Box Top Firme|Resortes Zonificados|Soporte de Borde,Confort box-top firme con soporte de resortes zonificados,,,,,,,"Nivel de confort firme, con menos hundimiento y más empuje en la superficie.",,,Soporte firme zonificado en construcción box-top con confort de borde a borde.,Firme con acabado superior,Alineación firme sin la sensación dura y desnuda de un firme tight-top.,Encasado de borde de 3 pulgadas,Rieles de espuma de alta densidad mantienen la superficie útil hasta el borde.,"Firme, terminado, de borde a borde.",Un box-top a medida quita la severidad al soporte firme mientras el perímetro reforzado conserva la superficie.,Acuéstate y luego siéntate cerca del borde y nota la superficie con soporte.,Superficie firme y terminada,Siente la capa superior a medida antes de llegar al soporte más firme debajo.,Perímetro con soporte,Siéntate o acuéstate cerca del borde y nota la superficie aprovechable.,Box-top a medida,Soporte firme con perímetro reforzado
s5,Gel Fresco|Firme|Híbrido,Espuma viscoelástica con gel fresco sobre soporte híbrido firme,,,,,,,"Nivel de confort firme, con menos hundimiento en la superficie y una construcción tight top sin capa tipo pillow top.",,Una capa completa de espuma con gel fresco sobre un núcleo híbrido firme — alivio de presión con efecto refrescante y alineación sólida.,Soporte híbrido firme coronado con espuma viscoelástica de gel fresco.,Capa de espuma con gel fresco,Agrega confort refrescante que un firme de resortes común no tiene.,Núcleo híbrido firme,,Confort fresco sobre un núcleo decidido.,La construcción Summit presenta sus capas de confort frescas sobre una base híbrida firme.,Acuéstate boca arriba y busca el soporte firme y estable bajo la capa de confort.,Capas de confort frescas,Toca la funda fresca y luego acomódate en la espuma de confort transpirable debajo.,Soporte de resortes por zonas,Cambia de posición y siente cómo responde el sistema de resortes bajo la superficie.,Funda fresca sobre espuma de confort transpirable,Resortes ensacados por zonas
s6,Medio|Híbrido,,,,,,,Nivel de confort medio: una sensación equilibrada entre suave y firme.,,,,,Medio que agrada a todos,La sensación en la que la mayoría de las parejas están de acuerdo — equilibrio entre suavidad y soporte.,,,Equilibrio atento a la temperatura.,El confort fresco y el soporte ensacado crean un híbrido medio y accesible.,Cambia de posición una vez y nota la cesión equilibrada y el movimiento fácil.,Capas de confort frescas,Toca la funda fresca y luego acomódate en la espuma de confort transpirable debajo.,Soporte de resortes por zonas,Cambia de posición y siente cómo responde el sistema de resortes bajo la superficie.,Funda fresca sobre espuma de confort transpirable,Resortes ensacados por zonas
s7,Suave|Híbrido,,,,,,"Nivel de confort suave: una sensación más suave, con más hundimiento en la superficie.",,,,,,,,Suavidad con soporte,,Confort fresco con una bienvenida más suave.,La construcción Summit se expresa a través de una superficie mullida mientras conserva su soporte ensacado debajo.,"Acomódate en el confort mullido, luego cambia de posición y siente cómo responde el soporte.",Capas de confort frescas,Toca la funda fresca y luego acomódate en la espuma de confort transpirable debajo.,Soporte de resortes por zonas,Cambia de posición y siente cómo responde el sistema de resortes bajo la superficie.,Funda fresca sobre espuma de confort transpirable,Resortes ensacados por zonas
s8,Marvelous Middle|Firme|Euro Top,,,,,,,,"Nivel de confort firme, con menos hundimiento y más empuje en la superficie.",,,Soporte firme zonificado con acabado euro-top — firme sin sentirse desnudo.,Euro-top sobre resortes firmes,Una capa de cojín cosida por debajo suaviza la sensación de un firme verdadero.,Resortes centrales más gruesos,La zonificación distintiva de Restonic mantiene las caderas niveladas donde las camas fallan primero.,Un acabado acolchado sobre un soporte con propósito.,El euro-top suaviza el primer contacto mientras las zonas del tercio central mantienen la identidad firme del colchón.,Siente primero el acolchado y luego acuéstate por el centro para la estructura más firme.,Euro-top acolchado,Siente el acolchado inicial en la superficie.,Soporte del tercio central,Acuéstate por el centro y encuentra la estructura más firme debajo.,Euro-top,Zonas del tercio central
s9,Híbrido|Medio|Aislamiento de Movimiento,Medio de lujo que se adapta y permanece quieto toda la noche,,,,,,,,,Capas de espuma adaptable sobre resortes envueltos — confort medio equilibrado que absorbe el movimiento de la pareja.,,Aislamiento de movimiento con resortes envueltos,,Capas de confort adaptables,Las capas de espuma se contornean sin el hundimiento profundo de las camas viscoelásticas.,Confort tranquilo para dos.,La espuma adaptable y los resortes envueltos de forma independiente crean una superficie media y serena diseñada para limitar el movimiento transferido.,"Acuéstate de lado, luego pide a tu pareja que se mueva y nota lo que llega hasta ti.",Contorno controlado,Acomódate en las capas de confort sin un hundimiento profundo en la espuma.,Resortes envueltos de forma independiente,Deja que una persona cambie de posición mientras la otra permanece quieta.,Espuma adaptable,Resortes envueltos de forma independiente
s10,Marvelous Middle|Extra Firme|Tight Top,Soporte extra firme zonificado a un precio accesible,,,,,,,,,,,Tight top extra firme,Una superficie plana y de soporte sin suavidad — para quienes quieren algo sólido.,Soporte central zonificado,Resortes centrales más gruesos protegen la firmeza de las marcas corporales tempranas.,Soporte estructurado con superficie fresca.,Los materiales de confort frescos descansan sobre un tight-top extra firme con soporte reforzado en el centro y el perímetro.,"Toca la funda, luego acuéstate boca arriba y siente la cesión limitada.",Superficie fresca,Toca la funda antes de acostarte.,Estructura reforzada,Prueba el centro y el borde mientras notas la cesión limitada de la superficie.,"Materiales de confort frescos, tight-top",Centro y perímetro reforzados
b1,Suave|12.5 Pulgadas|Valor,Suavidad acogedora a un precio cotidiano,,,,,,,,,Una construcción suave de 12.5 pulgadas que acolcha hombros y caderas — suavidad fácil a un precio razonable.,,Superficie verdaderamente suave,Más suave que el Gracie — hecho para quienes buscan acolchado primero.,Valor cotidiano,Calidad Restonic sin el precio Platinum.,Una bienvenida fresca y generosa.,"Una superficie fresca al tacto y espuma viscoelástica mullida crean la primera impresión, con resortes ensacados por zonas debajo.","Toca la funda, luego acuéstate de lado y deja que el hombro se asiente.",Superficie mullida y fresca,Toca la funda y luego deja que el hombro y la cadera se asienten en la suave capa de confort.,Soporte ensacado por zonas,Cambia de posición y siente el soporte bajo la superficie mullida.,Superficie fresca al tacto sobre espuma viscoelástica mullida,Resortes ensacados por zonas
b2,Firme|12.5 Pulgadas|Valor,Soporte firme directo a un precio cotidiano,,,,,,,"Nivel de confort firme, con menos hundimiento y más empuje en la superficie.",,Un firme de 12.5 pulgadas sin rodeos que mantiene tu columna alineada — soporte confiable noche tras noche.,Alineación firme confiable a precio cotidiano.,Sensación firme directa,Soporte sólido sin capas suaves que ablanden la superficie.,Valor cotidiano,El camino accesible a un colchón firme verdadero.,Firmeza limpia con ingeniería cuidada.,Una superficie fresca y resortes ensacados con zona central elevan un colchón firme y directo.,Acuéstate por el centro y nota la superficie contenida.,Primer contacto fresco,Toca la funda antes de acostarte.,Soporte firme con zona central,Acuéstate por el centro y nota la superficie contenida.,Superficie fresca,Resortes ensacados con zona central
b3,Híbrido|Euro Top|Hecho en EE. UU.,"Híbrido euro-top de empresa familiar, diseñado en EE. UU.",,,,,,,,,Treinta años de experiencia familiar de Kingdom Mattress en un híbrido euro-top diseñado completamente en EE. UU.,Un híbrido euro-top de empresa familiar hecho para aguantar años de vida real.,Capa de confort euro-top,Una superficie acolchada que el Genesis Firme no tiene.,Ingeniería para durar,Diseñado por una empresa familiar de 30 años con la durabilidad primero.,Confort americano de una empresa familiar.,La base híbrida de una empresa familiar recibe un acabado euro-top relajado.,Gira una vez y siente cómo responden los resortes bajo la capa acolchada.,Euro-top acolchado,Siente el confort adicional en el primer contacto.,Base híbrida receptiva,Gira una vez y siente la respuesta de los resortes bajo el acolchado.,Euro-top,Base híbrida de resortes
b4,Híbrido|Firme|Hecho en EE. UU.,Híbrido firme de empresa familiar al mejor valor,,,,,,,"Nivel de confort firme, con menos hundimiento y más empuje en la superficie.",,Un híbrido firme diseñado completamente en EE. UU. por una empresa familiar de 30 años — soporte sólido al mejor valor de la tienda.,"Soporte híbrido firme, de empresa familiar y a un precio razonable.",Núcleo híbrido firme,Soporte de resortes con superficie firme — más receptivo que las camas de espuma de valor.,Firme del mejor valor,El híbrido firme verdadero más accesible de la línea.,Respuesta de ingeniería americana sin excesos.,Un híbrido firme y directo se centra en la respuesta inmediata de los resortes y una superficie sin complicaciones.,"Presiona la parte superior, luego gira o levántate y siente la respuesta inmediata.",Superficie firme y directa,Presiona la parte superior y nota su cesión limitada.,Soporte híbrido receptivo,Gira o levántate y siente cómo el colchón responde de inmediato.,Superficie firme,Resortes híbridos
b5,Marvelous Middle|Suave|Para Dormir de Lado,,,,,,"Nivel de confort suave: una sensación más suave, con más hundimiento en la superficie.",,,,,,,,Encasado de borde de 3 pulgadas,Rieles de espuma de alta densidad dan más superficie útil que las camas suaves de valor.,Suavidad para dormir de lado con estructura oculta.,Una superficie mullida recibe el hombro y la cadera mientras un centro reforzado y un borde encapsulado aportan estructura.,"Acuéstate de lado y deja que el hombro se asiente, luego muévete hacia el borde.",Superficie mullida y atenta a la presión,Prueba una posición normal de lado y deja que el hombro se asiente de forma natural.,Soporte en el centro y el borde,Muévete hacia el perímetro y siente el borde con soporte.,Superficie mullida,Centro reforzado con borde encapsulado
b6,Marvelous Middle|Extra Firme|Híbrido,Soporte híbrido extra firme a precio de valor,,,,,,,"Nivel de confort extra firme: una sensación muy firme, con poco hundimiento en la superficie.",,,El camino de valor al verdadero soporte extra firme zonificado.,Extra firme de valor,La sensación más firme del nivel bronce — sin nada de suavidad.,Núcleo híbrido zonificado,Refuerzo del tercio central que la mayoría de las camas firmes de valor omiten.,Control compacto y extra firme.,Un tight-top contenido pone el soporte central reforzado y la estructura del perímetro por delante del acolchado decorativo.,"Presiona la parte superior, luego acuéstate y prueba el centro y el borde.",Superficie extra firme,Presiona la parte superior y nota su cesión limitada.,Centro y borde reforzados,Prueba el centro y el perímetro del colchón.,Tight-top contenido,Centro y perímetro reforzados
b7,Resortes|Medio|Mejor Valor,Confort medio equilibrado al precio más amigable,,,,,,Nivel de confort medio: una sensación equilibrada entre suave y firme.,,,Un colchón de resortes medio equilibrado con los resortes centrales más gruesos de Restonic — calidad real al precio más amigable de la tienda.,Confort equilibrado fácil con soporte zonificado — la elección inteligente para empezar.,Sensación de resortes receptiva,Rebote clásico de resortes fácil para moverse — sin sensación de quedar atrapado en espuma.,El precio más amigable,La forma más accesible de entrar a una construcción Restonic zonificada.,"Carácter clásico de resortes, reforzado con cuidado.","La respuesta tradicional de los resortes se combina con un centro más fuerte, un perímetro con soporte y una funda fresca.","Gira una vez y siente la respuesta familiar de los resortes, luego siéntate cerca del borde.",Sensación clásica y receptiva,Gira una vez y siente la respuesta familiar de los resortes.,Superficie de descanso reforzada,Prueba el centro y luego siéntate cerca del borde con soporte.,Funda fresca,Resortes tradicionales con centro y perímetro reforzados
